name,genre,spotifyId
WOS,argentine trap,5YCc6xS5Gpj3EkaYGdjyNK
Bryant Myers,trap latino,6w9ToX5slZ4uIdmD17hJ3c
Janaína,bossa nova,6XhfIDQSH8F4gfr189EL9q
The Virgins,,6RNuLHIAlLt1FQHm03oEru
MEMESVICES,,3j3gK5fx8dfcYzpC6MuwQl
Los Abuelos De La Nada,argentine rock,5R3NywPPOyhLfdvutgg0me
Inner Circle,reggae,5os0Ltvz8Q8BvXOPOd1frx
Vampire Weekend,indie,5BvJzeQpmsdsFp4HGUYUEx
Koino Yokan,,31kgZWvoPhxDcTKgVbgi3J
Bandalos Chinos,latin indie,0wn2qDKzeFlhjRUtJAwJjp
TV Girl,,0Y6dVaC9DZtPNH4591M42W
Kid Bloom,,5CXdWANGwYYRPClH6hhC0P
LeetStreet Boys,,5t1WXpwXhmO2JoGchjSYH5
Mc_team,,3MJrefxSroHCVFRnck3EFm
Neon Trees,,0RpddSzUHfncUWNJXKOsjy
C. Tangana,,5TYxZTjIPqKM8K8NuP9woO
Plain White T's,,1g1yxsNVPhMUl9GrMjEb2o
Shaggy,reggae,5EvFsr3kj42KNv97ZEnqij
Eze Gruber,,3AKE5y1ax9MXWXvb63DRnH
Frank Ocean,,2h93pZq0e7k5yf4dywlkpM
Coolio,west coast hip hop,3y24n3XhZ96wgwRXjvS17T
PREVIA Y CACHENGUE 2K24,rkt,23mWph3jTabzOkROilYBYK
4*TOWN (From Disney and Pixar’s Turning Red),,7jLpPyJ5gQxCvwiBsUfFu6
W Sound,,5uwa6tAMMfNbBFIHiI6NV4
L'Impératrice,french indie pop,4PwlsrN0t5mLN0C827cbEU
Phillip Phillips,folk pop,6p5JxpTc7USNnBnLzctyd4
Braulio Sauce,mexican indie,5xbovcvBXyYGcB9jnChhax
Luck Ra,cuarteto,4kcQWQDK0u9AftVSpdrAgk
Evlay,argentine trap,2JsDK87cAxuUlz4L4izU7A
Braga Boys,axé,4I3PGf3JIZjpBOtxg3ijKX
Goodboys,,2nm38smINjms1LtczR0Cei
Airbag,argentine rock,1wKDGglKV4FsFS85r2Dmpr
Soledad,folklore argentino,0K59Fm1y7s3j498ueS4qzY
Gustavo Cerati,argentine rock,1QOmebWGB6FdFtW7Bo3F0W
Mura Masa,,5Q81rlcTFh3k6DQJXPdsot
NONONO,,513t0jZUP0K98C4h7KHtEb
Rebounder,,2g2HWripkxzRZDZJ4KTBSB
Dr. Dreammaker,,761jLrJ3YSvCWz7F0NPZJY
Mark Ronson,,3hv9jJF3adDNsBSIQDqcjp
Gnarls Barkley,,5SbkVQYYzlw1kte75QIabH
El Bogueto,reggaeton mexa,3S9Hg7sRKhmtWunFZ2yAYP
Travie McCoy,,7o9Nl7K1Al6NNAHX6jn6iG
Tiago PZK,argentine trap,5Y3MV9DZ0d87NnVm56qSY1
Jack Stauber,,1vVHevk2PD45epYnDi9CCc
Bootleg Rascal,surf rock,2cScEQkwCAObAfeFX4CYr4
Adam Buxton,children's music,1tELKM5wjfv7SlSNgVOdAq
Turf,argentine rock,0Zncosr79q01riJYbSBNA1
"Relaxing Jazz Music, Smooth Chill Dinner Background Instrumental Songs",smooth jazz,59eOuKBNSdDsyafIzAw0au
Rock Mafia,,4pzAvicKWenQtv9zIQim47
Snow Patrol,,3rIZMv9rysU7JkLzEaC5Jp
Sie7e,reggae en español,11wOrJLuakmQqTuhXXW2xz
Bruno Mars,,0du5cEVh5yTK9QJze8zA0C
Aerosmith,classic rock,7Ey4PD4MYsKc5I2dolUwbH
Aska Mill,,3mkmnTAqRXg1NysbtuFS5P
Residente,latin hip hop,5GcWBUX00IPuWVGMIRK1sS
Genesis,progressive rock,3CkvROUTQ6nRi9yQOcsB50
Miranda!,latin pop,2eEmsgWmUFMbtU7agJpnjY
Lily Allen,,13saZpZnCDWOI9D4IJhp1f
Two Feet,,5sWHDYs0csV6RS48xBl0tH
Prince Royce,bachata,3MHaV05u0io8fQbZ2XPtlC
The 502s,,4sIuoDOzSlBqeiNJl631zX
Eagle-Eye Cherry,,3ngKsDXZAssmljeXCvEgOe
Terapia Distópica,,5If2J9PEL5TTfOBCRlXz3j
Indila,french pop,0FEJqmeLRzsXj8hgcZaAyB
Sam Fender,,6zlR5ttMfMNmwf2lecU9Cc
Memphis La Blusera,argentine rock,55j4xUfI5AATqETp8AnrRp
Nothing But Thieves,,1kDGbuxWknIKx4FlgWxiSp
Phil Collins,soft rock,4lxfqrEsLX6N1N4OCSkILp
Pier,argentine rock,7E0i3aKAcm8iGK15QePkog
Ed Sheeran,soft pop,6eUKZXaKkcviH0Ku9w2n3V
CA7RIEL & Paco Amoroso,,6I8TDGeUmmLom8auKPzMdX
Camila,latin pop,2gRP1Ezbtj3qrERnd0XasU
MGMT,indie,0SwO7SWeDHJijQ3XNS7xEE
The Beatles,classic rock,3WrFJ7ztbogyGnTHbHJFl2
Sublime,reggae rock,0EdvGhlC1FkGItLOWQzG4J
Black Eyed Peas,,1yxSLGMDHlW21z4YXirZDS
Counting Crows,,0vEsuISMWAKNctLlUAhSZC
The Police,,5NGO30tJxFlKixkPSgXcFE
Axe Bahia,axé,2dn7slANEuZTGyraHIhEg0
Los Fabulosos Cadillacs,rock en español,2FS22haX3FYbyOsUAkuYqZ
Rachel Bay Jones,musicals,73sIMDrtvzFVs4Y1WkUpTd
Sean Kingston,,6S0dmVVn4udvppDhZIWxCr
Beéle,latin afrobeats,7a0XAaPaK2aDSqa8p3QnC7
The Verve,britpop,2cGwlqi3k18jFpUyTrsR84
Los Animalitos,argentine rock,6g8KkddnaonbNU6kpCtGzf
Laura Dreyfuss,musicals,5hqM93qFRmwRv3QGrLO0jK
Caesars,,4rGrN4XDYhP6dUAZMvcuHr
The Weeknd,,1Xyo4u8uXC1ZmMpatF05PJ
Citys Of Collides,,12h32e6YMBk03yUo8tySbQ
ChiChi Peralta,merengue,5GNSVtCq2hiXDx7jUA5Iou
Kygo,tropical house,23fqKkggKUBHNkbKtXEls4
Brulet,,7G6aArLOczEoXx0nHcA0iM
No Wyld,,4xM4nZLhGE0pMKbXA08s6A
Bizarrap,argentine trap,716NhGYqD1jl2wI1Qkgq36
Joaquín Sabina,trova,4aeIWo5CMF1uRmqgJdwkZW
Zaz,chanson,1mbgj8ERPs8lWi7t5cYrdy
Manuel Medrano,colombian pop,0i5iO6icb7kxg48thi9gBM
Surf Curse,indie,1gl0S9pS0Zw0qfa14rDD3D
Guasones,argentine rock,2wjmZuSHtRx96Qxb8HiP2o
Peter Bjorn and John,indie,6u11Qbko2N2hP4lTBYjX86
Una Noche en Bogotá,,7oWMrZIuTLI7j0ea7Rx8S8
Serú Girán,argentine rock,6CrQKZeuSKNYgrE7PeYqJ1
Inmigrantes,rock en español,5hkwobspQ4nluFwhOcv612
Diego Torres,latin pop,0LALueHEQunQ2d61fXGeZh
Divididos,argentine rock,6ZIgPKHzpcswB8zh7sRIhx
La Oreja de Van Gogh,latin pop,4U7lXyKdSf1JbM1aXvsodC
Catfish and the Bottlemen,indie,2xaAOVImG2O6lURwqperlD
TOTO,yacht rock,0PFtn5NtBbbUNbU9EAmIWF
The Vaccines,indie,0Ak6DLKHtpR6TEEnmcorKA
John Frusciante,,7rN3Agir6FaZNfhf5V7mfN
Red Hot Chili Peppers,funk rock,0L8ExT028jH3ddEcZwqJJ5
Cat Janice,,7kNpF2nj7eVgcVo8k6pWkz
The Flaming Lips,neo-psychedelic,16eRpMNXSQ15wuJoeqguaB
Rusted Root,jam band,2M3vnW1p5w4uPRkLYTbvdB
goodperro,,564x4Q5hL4tQjV6XYikn09
Gilberto Gil,mpb,7oEkUINVIj1Nr3Wnj8tzqr
Yann Muller,lounge,41HOzTOe9JNerhym1HWxti
Empire Of The Sun,,67hb7towEyKvt5Z8Bx306c
Zoe Gotusso,latin indie,3XBw8ImFEo86mEB2dYh0vS
The Rasmus,finnish rock,76ptJV8617638xrpeoUtzl
Michel Teló,sertanejo,1sDVuztNhGcetCLChkleDA
Luis Miguel,mariachi,2nszmSgqreHSdJA3zWPyrW
É O Tchan,axé,78oxdhJ0pr4Dkyk0paWUAf
João Lucas & Marcelo,sertanejo universitário,07qXCavgZGcwnfNHSvSPtG
Los Auténticos Decadentes,argentine rock,3HrbmsYpKjWH1lzhad7alj
Bossa Nova Covers,bossa nova,6lkrkVSqgzJZz2jguafSAy
Eddie Sierra,latin pop,4QILOFSgMcb9gUF8GEkD3V
Bill Withers,soul,1ThoqLcyIYvZn7iWbj8fsj
Passenger,folk pop,0gadJ2b9A4SKsB1RFkBb66
Coti,argentine rock,1OUDQLymoysITxprkd0Qvj
Carlos Baute,latin pop,3smfreCkyJt7bShaTYpG77
Blur,britpop,7MhMgCo0Bl0Kukl93PZbYS
Tainy,reggaeton,0GM7qgcRCORpGnfcN2tCiB
Letters to Lions,surf rock,3H19dUT6SMuMawC1sLwCpx
La Beriso,argentine rock,0Dy32zfSrQ332Bz8wsthKJ
Her's,indie,77mJc3M7ZT5oOVM7gNdXim
James Blunt,,7KMqksf0UMdyA0UCf4R3ux
Miami Sound Machine,,18xgcedCGxFbqLbIQn5R8F
Eslabon Armado,corridos tumbados,0XeEobZplHxzM9QzFQWLiR
Lully Hill,bossa nova,4CnQQJwzE4Hv2WDDVwLc8M
Myke Towers,reggaeton,7iK8PXO48WeuP03g8YR51W
Noise Chillantro,,5on19ok7di3nj6e4OEh5PU
Fabiana Cantilo,argentine rock,5R6YR0pasdxlynyq0Abq7x
Jeites,,6qRjJ8pFQAtjZiiR6bRRI0
The Lumineers,folk pop,16oZKvXb6WkQlVAjwo2Wbg
Athenas,catholic music,71IIrUaZMShJKwuwIZVVwu
Miike Snow,alternative dance,4l1cKWYW591xnwEGxpUg3J
The Smiths,new wave,3yY2gUcIsjMr8hjo51PoJ8
Fitz and The Tantrums,,4AcHt3JxKy59IX7JNNlZn4
EXO,k-pop,3cjEqqelV9zb4BYE3qDQ4O
Liam Gallagher,britpop,6sN51vEARnAAdBw1IKZ8Q9
The Jungle Giants,,6wFwvxJkurQPU2UdeD4qVt
Capital Cities,,4gwpcMTbLWtBUlOijbVpuu
Of Monsters and Men,folk pop,4dwdTW1Lfiq0cM8nBAqIIz
Maroon 5,pop,04gDigrS5kc9YWfZHwBETP
Electric Light Orchestra,art rock,7jefIIksOi1EazgRTfW2Pk
Simon Grossmann,latin indie,6t38N9HASTn9ca0PIxfReQ
Alex Marquez Oficial,worship,0mWEEdgUmHziltREUUbcAt
All Tvvins,,7F0pUx0AO9CXaNbCoxbbNX
Gwen Stefani,,4yiQZ8tQPux8cPriYMWUFP
Greta Van Fleet,rock,4NpFxQe2UvRCAjto3JqlSl
Nonpalidece,reggae en español,0W1EfnztQTHuv03MuMzWPe
Joze,argentine rock,259qApebOoC9k42UAqXea0
Phoenix,indie,1xU878Z1QtBldR7ru9owdU
Rauw Alejandro,reggaeton,1mcTU81TzQhprhouKaTkpq
Bruno Borlone,,3tDix7cw0fgoa5idDGJ6Wo
Jungle,,59oA5WbbQvomJz2BuRG071
Kali Uchis,,1U1el3k54VvEUzo3ybLPlM
Catupecu Machu,argentine rock,059ysTnWcrm4yFwTr0NDjc
Roze Oficial,rkt,2Hxu0Wmd7FUm0euCVInVrN
Alejandro Sanz,latin pop,5sUrlPAHlS9NEirDB8SEbF
La Vela Puerca,argentine rock,6nVcjUJemqpJjc1WevwTvL
Wavelab,,7AbQo3tDp5SYr5ctDcNC21
Sérgio Mendes,brazilian jazz,65c5si0ePAwkOCn4M35Ho7
Chino & Nacho,merengue,5NS0854TqZQVoRmJKSWtFZ
Macaco,reggae en español,7mUBMaZW1MXGswaneb0JTT
Sam Smith,soft pop,2wY79sveU1sp5g7SokKOiI
Lo' Pibitos,candombe,7f4QZ3v32jtmstrh7VHfJL
Romina Marroquín Payró,,5f0gcyyPRCUTePOs4YRT5Y
Callinsick,,05I6krIHdVi1OFeF5ShrNb
Rachu Resiliencia,indie punk,59cO5w2UdvTFrGgawbSeSa
GROUPLOVE,indie,3kVUvbeRdcrqQ3oHk5hPdx
Pentadecimal,,6N70t9WnJfxcRSzxMmFF1R
Dillom,argentine trap,4cJD9t5QBFTUQcd3xfbOb2
El Kuelgue,argentine rock,6jRUKVZllu1wtgXHbqvUmT
Maxi Trusso,,1V7tGmh5DDSNE0VsUcorJL
Disko Junkie,disco house,0E3yCtI9D8vUfIIWDOO7zP
La Sonora Dinamita,cumbia,13or1Wf6ipcvSIiurZATvw
Justice,french house,1gR0gsQYfi6joyO1dlp76N
No Doubt,,0cQbJU1aAzvbEmTuljWLlF
Jason Mraz,soft pop,4phGZZrJZRo4ElhRtViYdl
Izzie,,2koJktD5DLx0aJBUpVpX0I
Tchakabum,axé,7iJl63aJyNd8C6NZlMv6kp
Ratones Paranoicos,argentine rock,5fVtUielMhdztOA34ArB6c
Royal Blood,garage rock,2S5hlvw4CMtMGswFtfdK15
Kyle Sparkman,,38HHAoD3GTvA78R8KmjMrW
Duncan Laurence,,3klZnJvYGIbWritVwQD434
Michael Park,musicals,2fPpoCU3oYJkQERSp1nXY2
Recordings From Earth,,3ZQb2yyHzgU02WZWbMOnyU
MC's Zaac,brazilian funk,13ySOy7rghkjVk5f5ChBW8
Björk,art pop,7w29UYBi0qsHi5RTcv3lmA
Los Tipitos,argentine rock,1SykQGBiBwkQ1fcGpJ1BJt
Brunico,,7DsRXrSbtE3BnNhwRc0Izn
Two Door Cinema Club,indie,536BYVgOnRky0xjsPT96zl
ROSALÍA,latin,7ltDVBr6mKbRvohxheJ9h1
The K's,,6DlKk9ibc9dCgvyNPGNXdH
The Moving Stills,surf rock,5MXKeoHi08yq7nnRNe3t4w
Pacific Avenue,surf rock,0I31FkQFn7gxEVAsWGNjvZ
Sarah Menescal,bossa nova,4DpQLwz0jhUU7wuT9phTlD
Xella Machina,,66uHiAJ1D3MCLQmX9xYJqI
Bon Iver,,4LEiUm1SRbFMgfqnQTwUbQ
Sting,soft rock,0Ty63ceoRnnJKVEYP0VQpk
Ruth B.,,2WzaAvm2bBCf4pEhyuDgCY
Portishead,trip hop,6liAMWkVf5LH7YR9yfFy1Y
Sueño Tsunami,latin indie,3t3BhxRxSzyOBq9vQKKWr6
Milo j,argentine trap,19HM5j0ULGSmEoRcrSe5x3
Green Day,punk,7oPftvlwr6VrsViSDV7fJY
Taburete,,40Ippe6JeofRURQ4nbF8DT
DEGrande,,01vtihVej8MCPiDog4X3cy
Franz Ferdinand,indie rock,0XNa1vTidXlvJ2gHSsRi4A
Oasis,britpop,2DaxqgrOhkeH0fpeiQq2f4
Fontane,,1i5yd57RUIKncQmCoy9NjW
Romaric,,3e6u95VEoeFpZKbDISofWC
Pescado Rabioso,argentine rock,3q1NXsv9XypOUCJfEatXH9
Blues Motel,argentine rock,2VD4qhDrH6pU7dbaK9nuni
Portugal. The Man,,4kI8Ie27vjvonwaB2ePh8T
The Backseat Lovers,,6p2HnfM955TI1bX34dkLnI
X Ambassadors,,3NPpFNZtSTHheNBaWC82rB
Los Pericos,reggae en español,7FnZWGw9lwOr7WzieTKEPR
Miguel Mateos - Zas,rock en español,3YG18nhGaJkR1F6VpcnSG6
All He Tano Faz,,2VafYEIwuCCTlnRzrXSU7W
Broken Bells,,6dgwEwnK0YtDfS9XhRwBTG
Gorillaz,,3AA28KZvwAUcZuOKwyblJQ
Madness,ska,4AYkFtEBnNnGuoo8HaHErd
Pappo's Blues,argentine rock,59dLJG3ZVwkMZLFKByQCJB
Bruce Springsteen,,3eqjTLE0HfPfh78zjh6TqT
Bacilos,colombian pop,1mux8L6xg2Cmrc7k0wQczl
Navío Prisma,,3DNw0d1FJuIPAI7iPYUoCt
Cazzu,argentine trap,6w3SkAHYPsQ1bxV7VDlG5y
Bunbury,rock en español,4uqzzJg3ww5eH7IgGV7DMT
Florence + The Machine,baroque pop,1moxjboGR7GNWYIMWsRjgG
Eliminar,,5s1Y0J4ZWpBzj3OO0NKpuy
MAGIC!,,0DxeaLnv6SyYk2DOqkLO8c
Kilo Herz,,1cDJHAhR1MlgitRpErRmzL
Andrés Calamaro,argentine rock,3tAICgiSR5PfYY4B8qsoAU
Gusttavo Lima,sertanejo,7MiDcPa6UiV3In7lIM71IN
Tan Bionica,argentine rock,37MCoi4pcUf9EKsPXeuCqU
Rels B,trap latino,2IMZYfNi21MGqxopj9fWx8
Still Woozy,bedroom pop,4iMO20EPodreIaEl8qW66y
Axel,,32x1uogH2zajP85pzZAtuE
Toploader,,6xeFne1rkxMhKSW3ipvkdV
BØRNS,,1KP6TWI40m7p3QBTU6u2xo
Juanes,latin pop,0UWZUmn7sybxMCqrw9tGa7
Federico Kempff,post-punk,48H3wHKP0TTL2Rt1rOJ4bW
MIKA,,5MmVJVhhYKQ86izuGHzJYA
Queen,classic rock,1dfeR4HaWDbWqFHLkxsg1d
Franz Schubert,chamber music,2p0UyoPfYfI76PCStuXfOP
Los Piojos,argentine rock,0SnyKkoyBaB2fG8IJH4xmU
Juan Freer,corrido,0a9vSkyCTnB36E2iZbRVtl
Fanny Lu,colombian pop,6GRC8segVAr34gm6pjfSoQ
Taylor Swift,,06HL4z0CvFAxyc27GXpf02
Linxes,latin indie,6dk5stiRd8YEY9knhBEUhx
Filhos De Jorge,axé,2V9RQWP2Dk6IEauL7D14vE
La Bomba de Tiempo,candombe,2kzyHS3WRPwclRl5gsydu8
Chayanne,latin pop,1JbemQ1fPt2YmSLjAFhPBv
Lewis Capaldi,soft pop,4GNC7GD6oZMSxPGyXy4MNB
Weezer,alternative rock,3jOstUTkEu2JkjvRdBA5Gu
Viejas Locas,argentine rock,7wTu5u7W3kc9Id5JAvSAFV
Jesse & Joy,latin pop,1mX1TWKpNxDSAH16LgDfiR
Seal,,5GtMEZEeFFsuHY8ad4kOxv
Kaiser Chiefs,britpop,0LbLWjaweRbO4FDKYlbfNt
Muse,alternative rock,12Chz98pHFMPJEknJQMWvI
Arctic Monkeys,indie,7Ln80lUS6He07XvHI8qqHH
No Te Va Gustar,argentine rock,4ZDoy7AWNgQVmX7T0u0B1j
Guaynaa,reggaeton,0BqURncJM5B1BBu7UM51eq
Indios,latin indie,49ynGmq4dpplOn1Rsiejfp
Bertt Que,,5qNqYfocxlYpB3uATOHEXJ
Hillsong en Español,christian,3phVKYqeq84Ai91CHTQfNq
Orishas,latin hip hop,2gKYxTUOqw9aPt7ljMwSHT
Natalia Lafourcade,latin folk,1hcdI2N1023RvSwLzTtdsp
El Reino Infantil,lullaby,6EMoWayH9WulC8F8b6m3BH
Kakkmaddafakka,,4HV7yKF3SRpY6I0gxu7hm9
The Kooks,indie,1GLtl8uqKmnyCWxHmw9tL4
Natalie Imbruglia,,0dlOr0VIysztGWvU1dpjmP
Delaossa,,5Uox3n7m4W2CoM9MmHPJwQ
Circa Waves,indie,6hl5k4gLl1p3sjhHcb57t2
Ella Es Tan Cargosa,argentine rock,2fGM1BtKeCWjnriro6BaPS
Likko Sol,,2Or8PQp1nSscZ2gnIkx17E
Árbol,argentine rock,6OO01j5rLKCyPg4i3FuzIT
João Bosco & Vinícius,sertanejo,7zIRO89G0FBAQtGMHO1Wa0
Rex Orange County,bedroom pop,7pbDxGE6nQSZVfiFdq9lOL
Ramiro Pietropaolo,,12hoFPPpSmeHM4aSQatsZh
Gorux,,6RqHqE3HSYAituSVyLThkI
Los Enanitos Verdes,rock en español,4TK1gDgb7QKoPFlzRrBRgR
Train,soft pop,3FUY2gzHeIiaesXtOAdB7A
filous,tropical house,2IjiuEObrCKyZvSb8xLxG9
Callejeros,argentine rock,2osoVujXgV0PA8lhqDKYFw
Sebastian Guerschuny,,6ie0d5D1D2PBqzhUExEplY
ACRU,latin hip hop,0bYQe0JDIjxkSHQoXlfngl
The Snuts,indie,4AzAfQNuAyKOFG4DZMsdAo
Atmosphere of Calm,,42KcSR239KEB90nE0wzA09
NEIL FRANCES,indie soul,587PA35pRGL1JwQr6idJbb
Dessu,mexican indie,49wqLYFVfLPKY9qO12ZoAs
Bersuit Vergarabat,argentine rock,6MxyNXnnmwQwdW2PD0gXYO
The Clear Mind,,17poofi2R6BSgWBubaEbGs
Tai Verdes,,2kCO8LXN1usaOPL3iEE28I
Medrana,,4TLEKuWT4t2sgAAsIwkJl6
Pacifica,,4YcQuAswXPWdO2WAxTRXse
El sueño del ciego,,6SfvDqhgUkNx1Z5H8vXWDv
Jay King,,2tmpR1Cuq6rOUj7ZiYIt5n
Cassian,melodic techno,1ChtRJ3f4rbv4vtz87i6CD
Carmen Sarahi,,2q8I4WTdPTd07a0IsKLch7
Milky Chance,,1hzfo8twXdOegF3xireCYs
Cristian Castro,latin pop,2AZOALDIBORfbzKTuliwdJ
Playing For Change,,645m90txZTycwJGdZTWscc
MC Kevinho,brazilian funk,1mXAhKnZEdF6rotyyd4GBi
Natasha Bedingfield,,7o95ZoZt5ZYn31e9z1Hc0a
Ro Ransom,,5tLx2xpkiHdzvX9CIymCfR
Reality Sound,,34yGVl5CKVdhqRost8UeJ1
Matt-Felix,,4T052xBzxDNV7ytuTFysnu
Snoop Dogg,g-funk,7hJcb9fa4alzcOq3EaNPoG
Vilma Palma e Vampiros,rock en español,5VQCk9RiLwri99OgOT34kq
Paolo Nutini,,7x5rK9BClDQ8wmCkYAGsQp
Taekoma,,2T7PXFO7TnyryQ8dvpD9Di
Hockey Dad,surf rock,1GJ1uwDfaA8GVVpVc2I2d2
Los Cocoa,,16nss8D4fSP84Jci370KXV
